gender,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,TechSupport,StreamingTV,StreamingMovies,Contract,PaymentMethod,MonthlyCharges,TotalCharges,service calls,Point de vente,Churn
Male,0,Yes,12,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Virement Bancaire,19.8,202.25,1,Oyo,No
Male,0,No,1,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,20.15,20.15,3,Dolisie,Yes
Female,0,Yes,58,Yes,Yes,SPEED FAMILY 100,Yes,No,No,Mensuel Prepay,Carte Bancaire,59.9,3505.1,4,Dolisie,No
Male,0,Yes,49,Yes,No,SPEED FAMILY 100,Yes,No,No,Mensuel Postpay,Carte Bancaire,59.6,2970.3,4,Oyo,No
Female,0,No,30,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Virement Bancaire,55.3,1530.6,1,Ouesso,No
Male,0,Yes,47,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,99.35,4749.15,3,Oyo,Yes
Male,0,Yes,1,No,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Mobile Money,30.2,30.2,2,Dolisie,Yes
Male,0,Yes,72,Yes,Yes,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Carte Bancaire,90.25,6369.45,1,Ouesso,No
Female,0,No,17,Yes,No,SPEED FAMILY 100,No,Yes,Yes,Mensuel Postpay,Chèque,64.7,1093.1,1,Ouesso,Yes
Female,1,Yes,71,Yes,Yes,SPEED FAMILY 220,Yes,No,No,Mensuel Prepay,Carte Bancaire,96.35,6766.95,1,Oyo,No
Male,1,Yes,2,Yes,No,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Carte Bancaire,95.5,181.65,3,Oyo,No
Female,0,Yes,27,Yes,No,SPEED FAMILY 100,Yes,No,No,Annuel,Chèque,66.15,1874.45,2,Brazzaville,No
Male,0,No,1,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Virement Bancaire,20.2,20.2,2,Ouesso,No
Male,1,No,1,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Virement Bancaire,45.25,45.25,2,Pointe-Noire,No
Female,0,Yes,72,Yes,Yes,SPEED FAMILY 220,Yes,Yes,No,Mensuel Prepay,Virement Bancaire,99.9,7251.7,4,Brazzaville,No
Male,0,No,5,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,69.7,316.9,2,Dolisie,Yes
Female,0,No,46,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Carte Bancaire,74.8,3548.3,2,Dolisie,No
Male,0,No,34,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,106.35,3549.25,3,Ouesso,Yes
Female,0,No,11,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Virement Bancaire,97.85,1105.4,2,Dolisie,Yes
Male,0,Yes,10,Yes,No,SPEED FAMILY 100,No,No,No,Annuel,Chèque,49.55,475.7,3,Oyo,No
Female,0,Yes,70,Yes,Yes,SPEED FAMILY 100,No,Yes,No,Mensuel Prepay,Carte Bancaire,69.2,4872.35,1,Dolisie,No
Female,0,Yes,17,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Chèque,20.75,418.25,3,Pointe-Noire,No
Female,0,No,63,Yes,Yes,SPEED FAMILY 100,Yes,Yes,No,Mensuel Prepay,Carte Bancaire,79.85,4861.45,4,Ouesso,No
Female,0,Yes,13,Yes,Yes,SPEED FAMILY 100,Yes,Yes,No,Mensuel Postpay,Mobile Money,76.2,981.45,4,Oyo,No
Female,0,No,49,Yes,Yes,SPEED FAMILY 220,No,No,Yes,Mensuel Postpay,Mobile Money,84.5,3906.7,4,Dolisie,No
Male,0,No,2,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,49.25,97.0,2,Brazzaville,No
Female,0,No,2,Yes,No,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Mobile Money,80.65,144.15,2,Ouesso,Yes
Male,0,No,52,Yes,Yes,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Carte Bancaire,79.75,4217.8,3,Brazzaville,No
Female,0,Yes,69,Yes,Yes,SPEED FAMILY 100,Yes,No,No,Mensuel Prepay,Carte Bancaire,64.15,4254.1,1,Pointe-Noire,No
Female,1,No,43,Yes,Yes,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Mobile Money,90.25,3838.75,2,Pointe-Noire,No
Female,0,No,15,Yes,No,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Carte Bancaire,99.1,1426.4,3,Oyo,Yes
Female,1,Yes,25,Yes,Yes,SPEED FAMILY 100,Yes,Yes,No,Mensuel Postpay,Carte Bancaire,69.5,1752.65,1,Ouesso,No
Female,1,Yes,8,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Carte Bancaire,80.65,633.3,3,Dolisie,Yes
Female,1,Yes,60,Yes,No,SPEED FAMILY 100,Yes,No,Yes,Annuel,Carte Bancaire,74.85,4456.35,2,Ouesso,No
Male,1,No,18,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,95.45,1752.55,1,Brazzaville,Yes
Female,0,Yes,63,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Carte Bancaire,99.65,6311.2,2,Brazzaville,No
Male,1,Yes,66,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Annuel,Mobile Money,108.45,7076.35,3,Pointe-Noire,No
Female,0,Yes,34,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Carte Bancaire,24.95,894.3,2,Oyo,No
Female,0,No,72,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Prepay,Carte Bancaire,107.5,7853.7,4,Ouesso,No
Female,0,Yes,47,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,100.5,4707.1,4,Pointe-Noire,No
Male,0,No,60,Yes,Yes,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Virement Bancaire,89.9,5450.7,1,Dolisie,No
Male,0,Yes,72,No,No,SPEED FAMILY 100,No,No,No,Mensuel Prepay,Virement Bancaire,42.1,2962.0,3,Oyo,No
Female,0,Yes,18,Yes,No,SPEED FAMILY 100,Yes,No,No,Annuel,Carte Bancaire,54.4,957.1,2,Pointe-Noire,No
Female,0,No,9,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,94.4,857.25,2,Brazzaville,Yes
Female,0,No,3,Yes,No,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Postpay,Mobile Money,75.3,244.1,2,Brazzaville,No
Male,0,Yes,47,Yes,Yes,SPEED FAMILY 220,No,No,No,Annuel,Mobile Money,78.9,3650.35,3,Ouesso,No
Female,0,No,31,Yes,No,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Chèque,79.2,2497.2,1,Pointe-Noire,No
Female,0,Yes,50,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,20.15,930.9,3,Pointe-Noire,No
Male,0,No,10,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Chèque,79.85,887.35,4,Pointe-Noire,No
Male,0,No,1,Yes,No,SPEED FAMILY 100,Yes,No,No,Mensuel Postpay,Chèque,49.05,49.05,2,Brazzaville,No
Female,0,Yes,52,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Mobile Money,20.4,1090.65,2,Ouesso,No
Male,1,Yes,64,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Prepay,Virement Bancaire,111.6,7099.0,2,Pointe-Noire,No
Male,0,Yes,62,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,24.25,1424.6,2,Oyo,No
Female,0,No,3,Yes,No,SPEED FAMILY 100,Yes,No,Yes,Mensuel Postpay,Virement Bancaire,64.5,177.4,3,Oyo,No
Female,1,No,56,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Mobile Money,110.5,6139.5,1,Oyo,No
Female,0,No,46,Yes,No,SPEED FAMILY 100,No,No,Yes,Annuel,Carte Bancaire,55.65,2688.85,1,Oyo,No
Female,0,Yes,8,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,54.65,482.25,4,Ouesso,No
Male,1,No,30,Yes,No,SPEED FAMILY 100,No,Yes,Yes,Mensuel Postpay,Mobile Money,74.75,2111.3,1,Brazzaville,No
Female,0,Yes,45,Yes,Yes,SPEED FAMILY 60,No,No,No,Annuel,Carte Bancaire,25.9,1216.6,2,Oyo,No
Female,0,No,1,Yes,No,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Mobile Money,79.35,79.35,4,Brazzaville,Yes
Female,0,Yes,11,No,No,SPEED FAMILY 100,No,Yes,Yes,Mensuel Postpay,Mobile Money,50.55,565.35,2,Oyo,No
Female,0,Yes,7,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Virement Bancaire,75.15,496.9,2,Pointe-Noire,Yes
Female,0,No,42,Yes,No,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Postpay,Virement Bancaire,103.8,4327.5,1,Dolisie,No
Female,0,Yes,49,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,20.15,973.35,1,Ouesso,No
Male,0,No,9,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Carte Bancaire,99.3,918.75,3,Oyo,No
Female,0,Yes,35,Yes,No,SPEED FAMILY 100,No,Yes,No,Annuel,Virement Bancaire,62.15,2215.45,3,Brazzaville,No
Female,0,Yes,48,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,20.65,1057.0,2,Oyo,No
Female,0,Yes,46,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Chèque,19.95,927.1,4,Brazzaville,No
Male,0,Yes,29,No,No,SPEED FAMILY 100,No,Yes,No,Mensuel Postpay,Chèque,33.75,1009.25,3,Brazzaville,No
Male,0,Yes,30,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Virement Bancaire,82.05,2570.2,2,Brazzaville,No
Male,1,No,1,Yes,No,SPEED FAMILY 220,Yes,No,No,Mensuel Postpay,Mobile Money,74.7,74.7,4,Brazzaville,No
Male,0,Yes,66,Yes,Yes,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Chèque,84.0,5714.25,1,Dolisie,No
Female,0,No,65,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Carte Bancaire,111.05,7107.0,2,Ouesso,No
Male,0,No,72,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Prepay,Virement Bancaire,100.9,7459.05,4,Dolisie,No
Female,0,No,12,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,78.95,927.35,2,Brazzaville,Yes
Male,0,Yes,71,Yes,Yes,SPEED FAMILY 100,Yes,No,No,Annuel,Carte Bancaire,66.85,4748.7,3,Oyo,No
Male,0,No,5,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,21.05,113.85,2,Oyo,Yes
Male,0,No,52,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,21.0,1107.2,3,Dolisie,No
Female,1,Yes,25,Yes,No,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,98.5,2514.5,3,Pointe-Noire,Yes
Male,0,No,1,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,20.2,20.2,1,Pointe-Noire,No
Female,0,Yes,1,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Mobile Money,19.45,19.45,1,Brazzaville,No
Male,0,No,38,Yes,Yes,SPEED FAMILY 220,Yes,Yes,No,Annuel,Virement Bancaire,95.0,3605.6,2,Pointe-Noire,No
Female,1,Yes,66,No,No,SPEED FAMILY 100,No,Yes,No,Annuel,Virement Bancaire,45.55,3027.25,3,Pointe-Noire,No
Male,0,Yes,68,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Prepay,Virement Bancaire,110.0,7611.85,1,Oyo,Yes
Male,0,No,5,No,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,24.3,100.2,1,Oyo,No
Female,0,Yes,72,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Mobile Money,104.15,7303.05,3,Brazzaville,No
Female,0,No,32,No,No,SPEED FAMILY 100,No,No,No,Annuel,Chèque,30.15,927.65,1,Dolisie,No
Male,0,No,43,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Chèque,94.35,3921.3,2,Brazzaville,No
Male,0,Yes,72,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Carte Bancaire,19.4,1363.25,1,Brazzaville,No
Male,0,Yes,55,Yes,Yes,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Mobile Money,96.75,5238.9,1,Brazzaville,Yes
Female,0,No,52,Yes,No,SPEED FAMILY 100,Yes,No,No,Annuel,Carte Bancaire,57.95,3042.25,3,Dolisie,No
Female,0,No,43,Yes,No,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Mobile Money,91.65,3954.1,2,Brazzaville,No
Female,1,Yes,37,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,76.5,2868.15,4,Ouesso,Yes
Female,0,Yes,64,No,No,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Mobile Money,54.6,3423.5,3,Ouesso,No
Male,0,Yes,3,Yes,No,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Mobile Money,89.85,248.4,4,Dolisie,No
Female,0,No,36,No,No,SPEED FAMILY 100,No,No,No,Mensuel Prepay,Virement Bancaire,31.05,1126.35,4,Ouesso,No
Female,0,Yes,10,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Mobile Money,100.25,1064.65,2,Ouesso,Yes
Female,0,No,41,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Chèque,20.65,835.15,2,Dolisie,No
Male,0,Yes,27,Yes,Yes,SPEED FAMILY 220,Yes,No,No,Mensuel Postpay,Carte Bancaire,85.2,2151.6,1,Oyo,No
Female,0,Yes,56,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Carte Bancaire,99.8,5515.45,4,Oyo,No
Female,0,No,6,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,20.7,112.75,3,Dolisie,No
Male,0,No,3,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,74.4,229.55,4,Dolisie,Yes
Female,0,Yes,7,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,50.7,350.35,4,Oyo,No
Female,0,Yes,4,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,20.85,62.9,3,Brazzaville,No
Male,0,No,33,Yes,No,SPEED FAMILY 220,Yes,Yes,No,Mensuel Prepay,Mobile Money,88.95,3027.65,2,Pointe-Noire,No
Female,1,No,27,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,78.05,2135.5,4,Dolisie,Yes
Male,0,Yes,72,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,23.55,1723.95,4,Oyo,No
Male,0,No,1,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,19.75,19.75,2,Dolisie,No
Male,1,No,71,No,No,SPEED FAMILY 100,No,Yes,Yes,Annuel,Mobile Money,56.45,3985.35,3,Pointe-Noire,No
Female,0,No,13,Yes,Yes,SPEED FAMILY 220,No,No,Yes,Mensuel Postpay,Mobile Money,85.95,1215.65,2,Brazzaville,No
Female,0,Yes,25,No,No,SPEED FAMILY 100,No,Yes,Yes,Mensuel Postpay,Carte Bancaire,58.6,1502.65,3,Pointe-Noire,Yes
Male,0,No,67,Yes,No,SPEED FAMILY 100,Yes,No,No,Mensuel Prepay,Virement Bancaire,50.55,3260.1,2,Dolisie,No
Male,0,No,1,No,No,SPEED FAMILY 100,No,No,Yes,Mensuel Postpay,Mobile Money,35.45,35.45,3,Brazzaville,Yes
Male,0,No,2,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Mobile Money,44.35,81.25,3,Pointe-Noire,Yes
Female,0,No,43,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Carte Bancaire,25.7,1188.2,2,Oyo,No
Female,0,No,23,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Virement Bancaire,75.0,1778.5,3,Dolisie,No
Female,0,Yes,64,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Chèque,20.2,1277.75,1,Brazzaville,No
Male,0,No,57,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Chèque,19.6,1170.55,3,Oyo,No
Female,1,Yes,1,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Chèque,70.45,70.45,2,Brazzaville,Yes
Female,1,Yes,72,Yes,Yes,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Carte Bancaire,88.05,6425.65,1,Ouesso,No
Female,0,No,8,Yes,Yes,SPEED FAMILY 100,Yes,No,Yes,Mensuel Postpay,Mobile Money,71.15,563.65,3,Pointe-Noire,Yes
Female,0,Yes,61,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Prepay,Virement Bancaire,101.05,5971.25,3,Oyo,No
Male,0,No,64,Yes,Yes,SPEED FAMILY 220,No,No,No,Annuel,Carte Bancaire,84.3,5289.05,2,Pointe-Noire,No
Male,1,Yes,71,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,23.95,1756.2,2,Dolisie,No
Female,0,Yes,65,Yes,Yes,SPEED FAMILY 220,Yes,Yes,No,Mensuel Prepay,Carte Bancaire,99.05,6416.7,4,Brazzaville,No
Male,0,No,3,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Chèque,19.6,61.35,4,Oyo,No
Male,0,No,1,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Mobile Money,45.65,45.65,3,Ouesso,Yes
Male,0,No,30,Yes,No,SPEED FAMILY 100,No,Yes,No,Annuel,Carte Bancaire,64.5,1929.95,1,Brazzaville,No
Male,0,Yes,15,Yes,No,SPEED FAMILY 100,Yes,No,Yes,Mensuel Postpay,Chèque,69.5,1071.4,4,Brazzaville,No
Female,0,Yes,8,Yes,No,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Postpay,Mobile Money,68.55,564.35,1,Brazzaville,No
Male,0,No,7,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Chèque,95.0,655.5,2,Dolisie,Yes
Female,0,Yes,70,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Annuel,Carte Bancaire,108.15,7930.55,3,Dolisie,No
Male,0,Yes,62,Yes,No,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Mobile Money,86.1,5215.25,4,Dolisie,No
Female,0,Yes,6,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Chèque,19.7,113.5,3,Pointe-Noire,No
Female,0,Yes,14,Yes,No,SPEED FAMILY 220,No,No,Yes,Mensuel Postpay,Virement Bancaire,80.9,1152.8,1,Dolisie,No
Female,0,No,22,Yes,Yes,SPEED FAMILY 220,No,Yes,No,Mensuel Postpay,Virement Bancaire,84.15,1821.95,3,Brazzaville,No
Male,0,Yes,22,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Chèque,20.15,419.9,2,Brazzaville,No
Male,0,Yes,16,Yes,No,SPEED FAMILY 100,No,Yes,No,Mensuel Prepay,Chèque,64.25,1024.0,2,Oyo,No
Male,0,No,10,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Virement Bancaire,25.7,251.6,3,Pointe-Noire,No
Female,0,No,13,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Mobile Money,56.0,764.55,2,Oyo,No
Female,0,Yes,20,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,82.4,1592.35,4,Oyo,Yes
Female,0,No,2,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,69.7,135.2,2,Ouesso,No
Male,0,No,53,Yes,Yes,SPEED FAMILY 100,Yes,No,Yes,Mensuel Prepay,Virement Bancaire,73.9,3958.25,2,Oyo,No
Female,0,Yes,11,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Chèque,20.6,233.9,4,Dolisie,No
Male,0,Yes,69,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Prepay,Chèque,19.9,1363.45,3,Pointe-Noire,No
Female,0,No,4,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Virement Bancaire,70.9,273.0,1,Brazzaville,Yes
Male,0,Yes,72,Yes,Yes,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Virement Bancaire,89.05,6254.45,4,Ouesso,No
Male,1,Yes,58,No,No,SPEED FAMILY 100,No,No,Yes,Mensuel Postpay,Mobile Money,45.3,2651.2,4,Oyo,Yes
Female,0,Yes,16,Yes,No,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Mobile Money,20.4,321.4,3,Pointe-Noire,No
Male,0,Yes,43,Yes,No,SPEED FAMILY 220,Yes,No,No,Annuel,Virement Bancaire,84.25,3539.25,3,Ouesso,No
Female,0,Yes,2,Yes,Yes,SPEED FAMILY 220,Yes,Yes,Yes,Mensuel Postpay,Mobile Money,104.4,242.8,4,Oyo,Yes
Male,0,Yes,14,Yes,No,SPEED FAMILY 100,Yes,Yes,Yes,Mensuel Prepay,Chèque,81.95,1181.75,2,Brazzaville,No
Female,0,Yes,53,Yes,No,SPEED FAMILY 220,No,Yes,Yes,Annuel,Virement Bancaire,94.85,5000.2,2,Ouesso,Yes
Female,0,No,32,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Virement Bancaire,20.55,654.55,1,Ouesso,No
Female,0,Yes,34,Yes,Yes,SPEED FAMILY 60,No,No,No,Mensuel Postpay,Mobile Money,24.7,780.2,4,Pointe-Noire,No
Female,1,No,15,Yes,Yes,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Chèque,74.45,1145.7,3,Brazzaville,Yes
Female,1,No,7,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Virement Bancaire,76.45,503.6,2,Oyo,Yes
Female,0,Yes,15,Yes,Yes,SPEED FAMILY 220,No,Yes,Yes,Mensuel Postpay,Virement Bancaire,105.35,1559.25,3,Brazzaville,No
Male,0,Yes,61,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Carte Bancaire,20.55,1252.0,3,Ouesso,No
Female,0,No,1,No,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Virement Bancaire,29.95,29.95,1,Dolisie,Yes
Female,0,No,1,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,45.3,45.3,2,Oyo,No
Male,0,No,8,Yes,Yes,SPEED FAMILY 220,No,No,Yes,Mensuel Postpay,Virement Bancaire,84.5,662.65,4,Oyo,Yes
Male,0,Yes,33,Yes,No,SPEED FAMILY 100,No,Yes,Yes,Annuel,Carte Bancaire,74.75,2453.3,4,Pointe-Noire,No
Female,0,No,13,Yes,No,SPEED FAMILY 220,No,No,No,Mensuel Postpay,Mobile Money,79.25,1111.65,2,Oyo,Yes
Female,0,Yes,1,No,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Mobile Money,24.8,24.8,1,Ouesso,Yes
Male,0,No,20,Yes,No,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Chèque,51.8,1023.85,1,Ouesso,No
Male,0,No,3,No,No,SPEED FAMILY 100,Yes,No,No,Mensuel Postpay,Mobile Money,30.4,82.15,1,Brazzaville,No
Female,0,No,13,Yes,No,SPEED FAMILY 60,No,No,No,Annuel,Mobile Money,19.65,244.8,2,Ouesso,No
Female,0,Yes,40,Yes,Yes,SPEED FAMILY 100,No,No,No,Mensuel Postpay,Carte Bancaire,56.6,2379.1,4,Brazzaville,No
